compas-alpha_1-beta_1-gamma_1,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
compas-alpha_1-beta_1-gamma_1,1571650977,0,0.4223,0.3806,0.6909,0.67,0.6492,0.63
compas-alpha_1-beta_1-gamma_1,1571650978,1,0.2547,0.2035,0.6854,0.53,0.6342,0.6
compas-alpha_1-beta_1-gamma_1,1571650978,2,0.2356,0.1543,0.6849,0.67,0.6036,0.63
compas-alpha_1-beta_1-gamma_1,1571650978,3,0.3722,0.1956,0.6936,0.53,0.5171,0.83
compas-alpha_1-beta_1-gamma_1,1571650979,4,0.3999,0.1895,0.6809,0.57,0.4705,0.9
compas-alpha_1-beta_1-gamma_1,1571650979,5,0.4377,0.1038,0.6866,0.53,0.3527,0.97
compas-alpha_1-beta_1-gamma_1,1571650980,6,0.454,0.1369,0.6551,0.63,0.338,1.0
compas-alpha_1-beta_1-gamma_1,1571650980,7,0.3925,0.1355,0.6306,0.7,0.3736,0.93
compas-alpha_1-beta_1-gamma_1,1571650980,8,0.4327,0.1015,0.6671,0.63,0.3359,0.93
compas-alpha_1-beta_1-gamma_1,1571650981,9,0.46,0.1017,0.6491,0.67,0.2908,0.9
compas-alpha_1-beta_1-gamma_1,1571650981,10,0.4874,0.103,0.6679,0.7,0.2835,0.9
compas-alpha_1-beta_1-gamma_1,1571650982,11,0.53,0.0894,0.6762,0.6,0.2355,1.0
compas-alpha_1-beta_1-gamma_1,1571650982,12,0.539,0.0713,0.6447,0.7,0.1769,1.0
compas-alpha_1-beta_1-gamma_1,1571650982,13,0.5769,0.0745,0.65,0.63,0.1476,1.0
compas-alpha_1-beta_1-gamma_1,1571650983,14,0.6073,0.0861,0.6975,0.53,0.1763,0.93
compas-alpha_1-beta_1-gamma_1,1571650983,15,0.6659,0.0907,0.7385,0.5,0.1633,1.0
compas-alpha_1-beta_1-gamma_1,1571650983,16,0.5194,0.0759,0.6183,0.7,0.1748,0.97
compas-alpha_1-beta_1-gamma_1,1571650984,17,0.6425,0.0845,0.7253,0.57,0.1673,1.0
compas-alpha_1-beta_1-gamma_1,1571650984,18,0.6859,0.0907,0.7254,0.6,0.1301,0.97
compas-alpha_1-beta_1-gamma_1,1571650985,19,0.5895,0.0617,0.6343,0.7,0.1064,1.0
compas-alpha_1-beta_1-gamma_1,1571650985,20,0.7162,0.0676,0.7471,0.63,0.0985,1.0
compas-alpha_1-beta_1-gamma_1,1571650985,21,0.6257,0.0675,0.6608,0.67,0.1026,0.97
compas-alpha_1-beta_1-gamma_1,1571650986,22,0.6706,0.072,0.663,0.63,0.0643,1.0
compas-alpha_1-beta_1-gamma_1,1571650986,23,0.6621,0.0663,0.6976,0.63,0.1019,1.0
compas-alpha_1-beta_1-gamma_1,1571650987,24,0.5831,0.0805,0.6163,0.73,0.1137,0.97
compas-alpha_1-beta_1-gamma_1,1571650987,25,0.6736,0.0626,0.7109,0.53,0.0998,1.0
compas-alpha_1-beta_1-gamma_1,1571650987,26,0.5971,0.0652,0.6921,0.53,0.1602,0.93
compas-alpha_1-beta_1-gamma_1,1571650988,27,0.724,0.0463,0.7467,0.47,0.069,1.0
compas-alpha_1-beta_1-gamma_1,1571650988,28,0.6784,0.0619,0.6584,0.67,0.0418,1.0
compas-alpha_1-beta_1-gamma_1,1571650988,29,0.5946,0.0711,0.6159,0.57,0.0924,0.97
compas-alpha_1-beta_1-gamma_1,1571650989,30,0.6557,0.0316,0.6835,0.63,0.0595,1.0
compas-alpha_1-beta_1-gamma_1,1571650989,31,0.6524,0.0729,0.6624,0.6,0.083,1.0
compas-alpha_1-beta_1-gamma_1,1571650990,32,0.6726,0.0501,0.6672,0.63,0.0447,1.0
compas-alpha_1-beta_1-gamma_1,1571650990,33,0.6128,0.0866,0.602,0.63,0.0758,1.0
compas-alpha_1-beta_1-gamma_1,1571650991,34,0.6818,0.0798,0.6874,0.53,0.0854,0.97
compas-alpha_1-beta_1-gamma_1,1571650991,35,0.6236,0.0539,0.6178,0.57,0.0481,1.0
compas-alpha_1-beta_1-gamma_1,1571650991,36,0.709,0.0717,0.6888,0.53,0.0514,1.0
compas-alpha_1-beta_1-gamma_1,1571650992,37,0.6819,0.069,0.6365,0.67,0.0236,1.0
compas-alpha_1-beta_1-gamma_1,1571650992,38,0.6502,0.0755,0.6315,0.7,0.0569,0.97
compas-alpha_1-beta_1-gamma_1,1571650993,39,0.6159,0.0742,0.6267,0.63,0.085,0.97
compas-alpha_1-beta_1-gamma_1,1571650993,40,0.5512,0.0622,0.5521,0.73,0.0631,1.0
compas-alpha_1-beta_1-gamma_1,1571650993,41,0.6634,0.0671,0.6768,0.6,0.0805,0.97
compas-alpha_1-beta_1-gamma_1,1571650994,42,0.6311,0.0683,0.6175,0.73,0.0548,1.0
compas-alpha_1-beta_1-gamma_1,1571650994,43,0.6625,0.0607,0.7014,0.5,0.0996,0.97
compas-alpha_1-beta_1-gamma_1,1571650995,44,0.6213,0.0588,0.6029,0.73,0.0404,1.0
compas-alpha_1-beta_1-gamma_1,1571650995,45,0.7769,0.0522,0.7493,0.63,0.0246,1.0
compas-alpha_1-beta_1-gamma_1,1571650995,46,0.6289,0.0551,0.5966,0.67,0.0228,1.0
compas-alpha_1-beta_1-gamma_1,1571650996,47,0.6879,0.0551,0.6531,0.6,0.0203,1.0
compas-alpha_1-beta_1-gamma_1,1571650996,48,0.6393,0.0524,0.6161,0.77,0.0292,1.0
compas-alpha_1-beta_1-gamma_1,1571650997,49,0.7482,0.0608,0.705,0.57,0.0176,1.0
compas-alpha_1-beta_1-gamma_1,1571650997,50,0.6508,0.0495,0.6287,0.73,0.0275,1.0
compas-alpha_1-beta_1-gamma_1,1571650997,51,0.6252,0.0435,0.5953,0.7,0.0135,1.0
compas-alpha_1-beta_1-gamma_1,1571650998,52,0.6443,0.0418,0.6619,0.6,0.0594,1.0
compas-alpha_1-beta_1-gamma_1,1571650998,53,0.7385,0.0552,0.6985,0.63,0.0152,1.0
compas-alpha_1-beta_1-gamma_1,1571650998,54,0.5402,0.0668,0.4826,0.93,0.0091,1.0
compas-alpha_1-beta_1-gamma_1,1571650999,55,0.6595,0.0428,0.6456,0.6,0.0289,1.0
compas-alpha_1-beta_1-gamma_1,1571650999,56,0.6058,0.0502,0.5946,0.67,0.039,0.97
compas-alpha_1-beta_1-gamma_1,1571651000,57,0.6984,0.041,0.6842,0.7,0.0268,1.0
compas-alpha_1-beta_1-gamma_1,1571651000,58,0.6305,0.0381,0.5997,0.67,0.0072,1.0
compas-alpha_1-beta_1-gamma_1,1571651000,59,0.6045,0.0403,0.5802,0.77,0.0161,1.0
compas-alpha_1-beta_1-gamma_1,1571651001,60,0.7698,0.0334,0.7437,0.63,0.0072,1.0
compas-alpha_1-beta_1-gamma_1,1571651001,61,0.661,0.0306,0.6458,0.53,0.0153,1.0
compas-alpha_1-beta_1-gamma_1,1571651002,62,0.6896,0.0492,0.6516,0.6,0.0112,1.0
compas-alpha_1-beta_1-gamma_1,1571651002,63,0.581,0.055,0.567,0.63,0.041,1.0
compas-alpha_1-beta_1-gamma_1,1571651003,64,0.663,0.0357,0.6317,0.63,0.0045,1.0
compas-alpha_1-beta_1-gamma_1,1571651003,65,0.7726,0.032,0.7493,0.47,0.0086,1.0
compas-alpha_1-beta_1-gamma_1,1571651004,66,0.5494,0.0455,0.5184,0.9,0.0144,1.0
compas-alpha_1-beta_1-gamma_1,1571651004,67,0.6419,0.036,0.6144,0.8,0.0084,1.0
compas-alpha_1-beta_1-gamma_1,1571651004,68,0.5768,0.0303,0.5693,0.73,0.0229,1.0
compas-alpha_1-beta_1-gamma_1,1571651005,69,0.529,0.0309,0.511,0.67,0.0129,1.0
compas-alpha_1-beta_1-gamma_1,1571651005,70,0.647,0.0389,0.6385,0.53,0.0304,1.0
compas-alpha_1-beta_1-gamma_1,1571651006,71,0.5983,0.0419,0.5732,0.67,0.0168,1.0
compas-alpha_1-beta_1-gamma_1,1571651006,72,0.6246,0.0257,0.6211,0.57,0.0222,1.0
compas-alpha_1-beta_1-gamma_1,1571651007,73,0.6329,0.0245,0.6232,0.6,0.0148,1.0
compas-alpha_1-beta_1-gamma_1,1571651007,74,0.6431,0.0253,0.6373,0.7,0.0195,1.0
compas-alpha_1-beta_1-gamma_1,1571651007,75,0.5814,0.025,0.5718,0.8,0.0155,1.0
compas-alpha_1-beta_1-gamma_1,1571651008,76,0.635,0.0289,0.6155,0.6,0.0094,1.0
compas-alpha_1-beta_1-gamma_1,1571651008,77,0.6952,0.0291,0.6804,0.57,0.0144,1.0
compas-alpha_1-beta_1-gamma_1,1571651009,78,0.7051,0.034,0.685,0.63,0.014,1.0
compas-alpha_1-beta_1-gamma_1,1571651009,79,0.5547,0.0297,0.5274,0.73,0.0024,1.0
compas-alpha_1-beta_1-gamma_1,1571651009,80,0.6092,0.0196,0.5986,0.63,0.0091,1.0
compas-alpha_1-beta_1-gamma_1,1571651010,81,0.6721,0.0401,0.6508,0.57,0.0188,1.0
compas-alpha_1-beta_1-gamma_1,1571651010,82,0.6544,0.0349,0.632,0.67,0.0125,1.0
compas-alpha_1-beta_1-gamma_1,1571651011,83,0.6207,0.0299,0.632,0.57,0.0412,0.97
compas-alpha_1-beta_1-gamma_1,1571651011,84,0.6974,0.0289,0.6767,0.7,0.0083,1.0
compas-alpha_1-beta_1-gamma_1,1571651011,85,0.5846,0.0245,0.5659,0.83,0.0059,1.0
compas-alpha_1-beta_1-gamma_1,1571651012,86,0.7289,0.0223,0.7095,0.57,0.003,1.0
compas-alpha_1-beta_1-gamma_1,1571651012,87,0.5758,0.0249,0.569,0.73,0.0181,1.0
compas-alpha_1-beta_1-gamma_1,1571651013,88,0.6788,0.0276,0.6552,0.63,0.004,1.0
compas-alpha_1-beta_1-gamma_1,1571651013,89,0.6313,0.0319,0.6052,0.63,0.0059,1.0
compas-alpha_1-beta_1-gamma_1,1571651013,90,0.6618,0.032,0.6385,0.7,0.0087,1.0
compas-alpha_1-beta_1-gamma_1,1571651014,91,0.5689,0.0261,0.5531,0.77,0.0102,1.0
compas-alpha_1-beta_1-gamma_1,1571651014,92,0.6598,0.029,0.6373,0.6,0.0065,1.0
compas-alpha_1-beta_1-gamma_1,1571651015,93,0.6033,0.0259,0.6112,0.7,0.0338,1.0
compas-alpha_1-beta_1-gamma_1,1571651015,94,0.6948,0.0216,0.6807,0.53,0.0075,1.0
compas-alpha_1-beta_1-gamma_1,1571651015,95,0.5636,0.0325,0.5457,0.8,0.0146,1.0
compas-alpha_1-beta_1-gamma_1,1571651016,96,0.6491,0.0196,0.6311,0.7,0.0016,1.0
compas-alpha_1-beta_1-gamma_1,1571651016,97,0.6017,0.0243,0.5797,0.67,0.0024,1.0
compas-alpha_1-beta_1-gamma_1,1571651017,98,0.6747,0.0229,0.6755,0.57,0.0237,1.0
compas-alpha_1-beta_1-gamma_1,1571651017,99,0.692,0.0257,0.6748,0.63,0.0085,1.0
compas-alpha_1-beta_1-gamma_1,1571651018,100,0.7155,0.0142,0.7158,0.7,0.0145,1.0
compas-alpha_1-beta_1-gamma_1,1571651018,101,0.719,0.0194,0.7058,0.53,0.0061,1.0
compas-alpha_1-beta_1-gamma_1,1571651018,102,0.6201,0.0278,0.6079,0.7,0.0157,1.0
compas-alpha_1-beta_1-gamma_1,1571651019,103,0.6335,0.0219,0.6149,0.7,0.0032,1.0
compas-alpha_1-beta_1-gamma_1,1571651019,104,0.632,0.0312,0.6088,0.7,0.008,1.0
compas-alpha_1-beta_1-gamma_1,1571651020,105,0.69,0.0252,0.6704,0.63,0.0056,1.0
compas-alpha_1-beta_1-gamma_1,1571651020,106,0.6758,0.0267,0.671,0.57,0.0218,1.0
compas-alpha_1-beta_1-gamma_1,1571651020,107,0.5411,0.0226,0.5546,0.77,0.0361,0.97
compas-alpha_1-beta_1-gamma_1,1571651021,108,0.6313,0.021,0.6202,0.67,0.0099,1.0
compas-alpha_1-beta_1-gamma_1,1571651021,109,0.6078,0.0242,0.5853,0.77,0.0017,1.0
compas-alpha_1-beta_1-gamma_1,1571651022,110,0.6047,0.019,0.5891,0.73,0.0033,1.0
compas-alpha_1-beta_1-gamma_1,1571651022,111,0.7506,0.0211,0.7422,0.57,0.0127,1.0
compas-alpha_1-beta_1-gamma_1,1571651022,112,0.6963,0.0287,0.6835,0.63,0.0159,1.0
compas-alpha_1-beta_1-gamma_1,1571651023,113,0.6764,0.0139,0.6639,0.63,0.0014,1.0
compas-alpha_1-beta_1-gamma_1,1571651023,114,0.6918,0.0278,0.6658,0.57,0.0019,1.0
compas-alpha_1-beta_1-gamma_1,1571651023,115,0.6092,0.0202,0.5912,0.77,0.0022,1.0
compas-alpha_1-beta_1-gamma_1,1571651024,116,0.6102,0.0221,0.5906,0.7,0.0025,1.0
compas-alpha_1-beta_1-gamma_1,1571651024,117,0.6238,0.0241,0.6117,0.63,0.0119,1.0
compas-alpha_1-beta_1-gamma_1,1571651025,118,0.5371,0.015,0.5284,0.8,0.0063,1.0
compas-alpha_1-beta_1-gamma_1,1571651025,119,0.5948,0.0179,0.58,0.87,0.0031,1.0
compas-alpha_1-beta_1-gamma_1,1571651025,120,0.6038,0.027,0.5792,0.67,0.0024,1.0
compas-alpha_1-beta_1-gamma_1,1571651026,121,0.6884,0.0218,0.6686,0.6,0.002,1.0
compas-alpha_1-beta_1-gamma_1,1571651026,122,0.6561,0.0168,0.6479,0.63,0.0086,1.0
compas-alpha_1-beta_1-gamma_1,1571651027,123,0.5882,0.0237,0.5701,0.63,0.0056,1.0
compas-alpha_1-beta_1-gamma_1,1571651027,124,0.636,0.0234,0.6155,0.7,0.003,1.0
compas-alpha_1-beta_1-gamma_1,1571651028,125,0.5655,0.0175,0.5591,0.77,0.0111,1.0
compas-alpha_1-beta_1-gamma_1,1571651028,126,0.7362,0.0233,0.72,0.57,0.0071,1.0
compas-alpha_1-beta_1-gamma_1,1571651029,127,0.6175,0.0158,0.6065,0.77,0.0047,1.0
compas-alpha_1-beta_1-gamma_1,1571651030,128,0.658,0.0181,0.6407,0.63,0.0008,1.0
compas-alpha_1-beta_1-gamma_1,1571651030,129,0.6365,0.0266,0.6149,0.7,0.0049,1.0
compas-alpha_1-beta_1-gamma_1,1571651031,130,0.59,0.0193,0.5733,0.73,0.0026,1.0
compas-alpha_1-beta_1-gamma_1,1571651031,131,0.592,0.0183,0.5776,0.73,0.0039,1.0
compas-alpha_1-beta_1-gamma_1,1571651032,132,0.6425,0.0153,0.6298,0.67,0.0026,1.0
compas-alpha_1-beta_1-gamma_1,1571651032,133,0.7077,0.0216,0.6908,0.67,0.0047,1.0
compas-alpha_1-beta_1-gamma_1,1571651033,134,0.6591,0.0227,0.6411,0.83,0.0047,1.0
compas-alpha_1-beta_1-gamma_1,1571651033,135,0.665,0.0212,0.6587,0.7,0.015,1.0
compas-alpha_1-beta_1-gamma_1,1571651034,136,0.6545,0.0202,0.6361,0.63,0.0018,1.0
compas-alpha_1-beta_1-gamma_1,1571651034,137,0.6733,0.0229,0.6516,0.63,0.0011,1.0
compas-alpha_1-beta_1-gamma_1,1571651034,138,0.6813,0.0206,0.6662,0.57,0.0055,1.0
compas-alpha_1-beta_1-gamma_1,1571651035,139,0.5613,0.0221,0.5415,0.8,0.0023,1.0
compas-alpha_1-beta_1-gamma_1,1571651035,140,0.6754,0.022,0.6552,0.6,0.0018,1.0
compas-alpha_1-beta_1-gamma_1,1571651036,141,0.7003,0.0152,0.6861,0.53,0.001,1.0
compas-alpha_1-beta_1-gamma_1,1571651036,142,0.6876,0.0204,0.6681,0.63,0.0009,1.0
compas-alpha_1-beta_1-gamma_1,1571651037,143,0.6388,0.0187,0.6233,0.63,0.0032,1.0
compas-alpha_1-beta_1-gamma_1,1571651037,144,0.6095,0.0273,0.5952,0.7,0.013,1.0
compas-alpha_1-beta_1-gamma_1,1571651037,145,0.7464,0.0191,0.7389,0.57,0.0116,1.0
compas-alpha_1-beta_1-gamma_1,1571651038,146,0.6523,0.0189,0.6348,0.77,0.0014,1.0
compas-alpha_1-beta_1-gamma_1,1571651038,147,0.5939,0.021,0.5777,0.73,0.0048,1.0
compas-alpha_1-beta_1-gamma_1,1571651039,148,0.6327,0.0163,0.6219,0.77,0.0055,1.0
compas-alpha_1-beta_1-gamma_1,1571651039,149,0.6408,0.0143,0.6276,0.63,0.0011,1.0
compas-alpha_1-beta_1-gamma_1,1571651040,150,0.6945,0.0232,0.6729,0.47,0.0016,1.0
compas-alpha_1-beta_1-gamma_1,1571651040,151,0.6502,0.0188,0.636,0.57,0.0047,1.0
compas-alpha_1-beta_1-gamma_1,1571651040,152,0.6605,0.0221,0.6417,0.6,0.0033,1.0
compas-alpha_1-beta_1-gamma_1,1571651041,153,0.5613,0.0239,0.5387,0.83,0.0012,1.0
compas-alpha_1-beta_1-gamma_1,1571651041,154,0.6757,0.0141,0.6631,0.63,0.0016,1.0
compas-alpha_1-beta_1-gamma_1,1571651042,155,0.8002,0.0216,0.7814,0.47,0.0029,1.0
compas-alpha_1-beta_1-gamma_1,1571651042,156,0.6527,0.0145,0.6414,0.67,0.0032,1.0
compas-alpha_1-beta_1-gamma_1,1571651042,157,0.5643,0.0214,0.5479,0.83,0.005,1.0
compas-alpha_1-beta_1-gamma_1,1571651043,158,0.6538,0.025,0.6298,0.7,0.001,1.0
compas-alpha_1-beta_1-gamma_1,1571651043,159,0.7317,0.0208,0.7137,0.53,0.0028,1.0
compas-alpha_1-beta_1-gamma_1,1571651044,160,0.6619,0.0215,0.6411,0.67,0.0007,1.0
compas-alpha_1-beta_1-gamma_1,1571651044,161,0.5754,0.0156,0.5647,0.73,0.0049,1.0
compas-alpha_1-beta_1-gamma_1,1571651045,162,0.5745,0.0145,0.5624,0.77,0.0024,1.0
compas-alpha_1-beta_1-gamma_1,1571651045,163,0.6237,0.0193,0.6148,0.73,0.0104,1.0
compas-alpha_1-beta_1-gamma_1,1571651045,164,0.7347,0.0156,0.7234,0.63,0.0043,1.0
compas-alpha_1-beta_1-gamma_1,1571651046,165,0.5795,0.0126,0.5678,0.83,0.0009,1.0
compas-alpha_1-beta_1-gamma_1,1571651046,166,0.634,0.0217,0.615,0.7,0.0028,1.0
compas-alpha_1-beta_1-gamma_1,1571651047,167,0.5707,0.0197,0.5587,0.77,0.0077,1.0
compas-alpha_1-beta_1-gamma_1,1571651047,168,0.663,0.012,0.6594,0.6,0.0084,1.0
compas-alpha_1-beta_1-gamma_1,1571651048,169,0.6999,0.0195,0.682,0.6,0.0016,1.0
compas-alpha_1-beta_1-gamma_1,1571651048,170,0.6226,0.0142,0.6094,0.7,0.001,1.0
compas-alpha_1-beta_1-gamma_1,1571651048,171,0.7026,0.0264,0.678,0.57,0.0018,1.0
compas-alpha_1-beta_1-gamma_1,1571651049,172,0.6126,0.0153,0.599,0.53,0.0017,1.0
compas-alpha_1-beta_1-gamma_1,1571651049,173,0.6294,0.0161,0.6279,0.8,0.0145,1.0
compas-alpha_1-beta_1-gamma_1,1571651050,174,0.6257,0.019,0.6079,0.8,0.0012,1.0
compas-alpha_1-beta_1-gamma_1,1571651050,175,0.6199,0.0192,0.6048,0.7,0.0041,1.0
compas-alpha_1-beta_1-gamma_1,1571651051,176,0.6267,0.0145,0.6131,0.77,0.0009,1.0
compas-alpha_1-beta_1-gamma_1,1571651051,177,0.608,0.0244,0.5843,0.73,0.0007,1.0
compas-alpha_1-beta_1-gamma_1,1571651051,178,0.6336,0.0159,0.6321,0.67,0.0144,1.0
compas-alpha_1-beta_1-gamma_1,1571651052,179,0.7277,0.0239,0.7043,0.57,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651052,180,0.6957,0.0229,0.6853,0.6,0.0126,1.0
compas-alpha_1-beta_1-gamma_1,1571651053,181,0.5499,0.0164,0.5397,0.77,0.0062,1.0
compas-alpha_1-beta_1-gamma_1,1571651053,182,0.689,0.0192,0.6772,0.6,0.0074,1.0
compas-alpha_1-beta_1-gamma_1,1571651053,183,0.7935,0.0223,0.7741,0.47,0.0028,1.0
compas-alpha_1-beta_1-gamma_1,1571651054,184,0.6162,0.0244,0.5997,0.77,0.0078,1.0
compas-alpha_1-beta_1-gamma_1,1571651054,185,0.6822,0.019,0.6638,0.6,0.0006,1.0
compas-alpha_1-beta_1-gamma_1,1571651055,186,0.6452,0.0196,0.629,0.63,0.0034,1.0
compas-alpha_1-beta_1-gamma_1,1571651055,187,0.7118,0.0113,0.7009,0.53,0.0005,1.0
compas-alpha_1-beta_1-gamma_1,1571651055,188,0.6517,0.0188,0.6352,0.67,0.0023,1.0
compas-alpha_1-beta_1-gamma_1,1571651056,189,0.6908,0.0167,0.6772,0.7,0.0031,1.0
compas-alpha_1-beta_1-gamma_1,1571651056,190,0.7143,0.0206,0.695,0.57,0.0013,1.0
compas-alpha_1-beta_1-gamma_1,1571651057,191,0.6683,0.0192,0.6529,0.7,0.0038,1.0
compas-alpha_1-beta_1-gamma_1,1571651057,192,0.7093,0.0197,0.6901,0.57,0.0004,1.0
compas-alpha_1-beta_1-gamma_1,1571651057,193,0.7094,0.0131,0.6968,0.63,0.0005,1.0
compas-alpha_1-beta_1-gamma_1,1571651058,194,0.7133,0.0158,0.6977,0.53,0.0003,1.0
compas-alpha_1-beta_1-gamma_1,1571651058,195,0.6947,0.0185,0.6819,0.6,0.0057,1.0
