compas-alpha_1-beta_1-gamma_1,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
compas-alpha_1-beta_1-gamma_1,1571651302,795,0.6424,0.0149,0.6276,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651302,796,0.672,0.0141,0.658,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651302,797,0.6178,0.0156,0.6022,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651303,798,0.6199,0.01,0.6099,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651303,799,0.5819,0.0099,0.572,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651304,800,0.6612,0.0173,0.6439,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651304,801,0.6591,0.0093,0.6498,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651304,802,0.6884,0.0146,0.6737,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651305,803,0.6777,0.0108,0.6669,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651305,804,0.5782,0.019,0.5592,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651306,805,0.5726,0.0163,0.5563,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651306,806,0.5837,0.0147,0.5689,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651306,807,0.769,0.0141,0.7549,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651307,808,0.5932,0.0202,0.573,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651307,809,0.577,0.0133,0.5637,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651308,810,0.5583,0.0204,0.538,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651308,811,0.6462,0.017,0.6293,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651309,812,0.6197,0.0182,0.6015,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651309,813,0.5557,0.029,0.5267,0.83,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651309,814,0.6437,0.0195,0.6242,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651310,815,0.6429,0.0148,0.628,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651310,816,0.6366,0.0125,0.6241,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651311,817,0.627,0.0171,0.6099,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651311,818,0.6215,0.0134,0.6081,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651312,819,0.5045,0.015,0.4896,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651312,820,0.6681,0.0189,0.6492,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651313,821,0.7492,0.015,0.7342,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651313,822,0.5612,0.0086,0.5526,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651313,823,0.6482,0.0128,0.6354,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651314,824,0.6346,0.0097,0.6249,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651314,825,0.56,0.0145,0.5455,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651315,826,0.6609,0.0099,0.651,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651315,827,0.4758,0.014,0.4618,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651315,828,0.7067,0.0154,0.6913,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651316,829,0.635,0.0154,0.6196,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651316,830,0.678,0.0184,0.6595,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651316,831,0.5862,0.0133,0.5729,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651317,832,0.5996,0.0152,0.5843,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651317,833,0.5818,0.0168,0.565,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651318,834,0.6766,0.012,0.6646,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651318,835,0.5516,0.0229,0.5287,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651318,836,0.549,0.0174,0.5315,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651319,837,0.5236,0.0133,0.5103,0.83,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651319,838,0.5611,0.0158,0.5453,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651320,839,0.5855,0.0136,0.572,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651320,840,0.5561,0.014,0.5421,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651320,841,0.6384,0.0125,0.6259,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651321,842,0.787,0.0166,0.7704,0.47,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651321,843,0.6092,0.0187,0.5904,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651322,844,0.577,0.0141,0.5629,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651322,845,0.591,0.0174,0.5736,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651322,846,0.6445,0.0181,0.6264,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651323,847,0.599,0.0167,0.5823,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651323,848,0.6229,0.0144,0.6084,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651324,849,0.711,0.0154,0.6956,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651324,850,0.7115,0.0174,0.6941,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651324,851,0.6533,0.0189,0.6344,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651325,852,0.6068,0.0151,0.5917,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651325,853,0.6208,0.0191,0.6018,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651326,854,0.625,0.0121,0.6128,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651326,855,0.7226,0.0175,0.7051,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651326,856,0.5794,0.0129,0.5666,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651327,857,0.6489,0.0136,0.6354,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651327,858,0.5616,0.0165,0.5451,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651327,859,0.6451,0.0147,0.6304,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651328,860,0.5868,0.0161,0.5708,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651328,861,0.6979,0.0146,0.6833,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651329,862,0.552,0.0179,0.5341,0.83,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651329,863,0.7084,0.0123,0.6961,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651329,864,0.633,0.008,0.625,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651330,865,0.7053,0.0151,0.6902,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651330,866,0.5904,0.0146,0.5758,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651331,867,0.6033,0.0129,0.5905,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651331,868,0.6256,0.0155,0.6101,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651331,869,0.7987,0.0158,0.7829,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651332,870,0.6267,0.0098,0.6169,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651332,871,0.7408,0.0106,0.7302,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651333,872,0.5841,0.0128,0.5713,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651333,873,0.6933,0.0114,0.6819,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651333,874,0.7152,0.0142,0.701,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651334,875,0.624,0.0131,0.6109,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651334,876,0.6412,0.0168,0.6244,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651335,877,0.6533,0.0145,0.6388,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651335,878,0.658,0.0163,0.6418,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651335,879,0.5735,0.0094,0.5642,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651336,880,0.6731,0.0199,0.6532,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651336,881,0.6671,0.0171,0.6501,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651337,882,0.6558,0.0111,0.6447,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651337,883,0.6764,0.0203,0.6561,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651337,884,0.6358,0.0151,0.6207,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651338,885,0.5712,0.0083,0.5629,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651338,886,0.7065,0.0163,0.6903,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651339,887,0.5549,0.0153,0.5396,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651339,888,0.7596,0.017,0.7426,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651340,889,0.687,0.01,0.677,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651340,890,0.7134,0.0141,0.6993,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651340,891,0.6097,0.0176,0.5921,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651341,892,0.6235,0.0104,0.6131,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651341,893,0.6674,0.0084,0.659,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651342,894,0.6385,0.0113,0.6272,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651342,895,0.5329,0.0183,0.5146,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651343,896,0.6119,0.0189,0.593,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651343,897,0.6757,0.0204,0.6553,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651343,898,0.6564,0.0124,0.644,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651344,899,0.6624,0.021,0.6415,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651344,900,0.6279,0.018,0.6099,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651345,901,0.5606,0.0181,0.5426,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651345,902,0.6132,0.0117,0.6015,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651345,903,0.5509,0.0115,0.5394,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651346,904,0.6387,0.0158,0.6229,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651346,905,0.6189,0.01,0.6089,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651347,906,0.6191,0.0231,0.596,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651347,907,0.5836,0.0157,0.5679,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651347,908,0.6839,0.0148,0.6691,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651348,909,0.6286,0.0115,0.6171,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651348,910,0.755,0.012,0.743,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651348,911,0.547,0.0116,0.5353,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651349,912,0.5923,0.0084,0.5839,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651349,913,0.5351,0.0204,0.5146,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651350,914,0.6723,0.0165,0.6557,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651350,915,0.6029,0.0133,0.5897,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651350,916,0.6329,0.015,0.6179,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651351,917,0.6269,0.0123,0.6146,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651351,918,0.6035,0.0135,0.59,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651352,919,0.5739,0.01,0.5639,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651352,920,0.666,0.0148,0.6512,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651352,921,0.6384,0.0147,0.6236,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651353,922,0.6578,0.013,0.6448,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651353,923,0.6281,0.0135,0.6145,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651353,924,0.6973,0.012,0.6853,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651354,925,0.6353,0.0154,0.6198,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651354,926,0.5958,0.0186,0.5772,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651355,927,0.7539,0.0163,0.7375,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651355,928,0.5983,0.018,0.5803,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651355,929,0.5989,0.0198,0.579,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651356,930,0.6068,0.0166,0.5902,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651356,931,0.4519,0.0179,0.4339,0.87,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651356,932,0.6696,0.011,0.6585,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651357,933,0.7196,0.0121,0.7076,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651357,934,0.7664,0.0103,0.756,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651358,935,0.5855,0.008,0.5775,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651358,936,0.5572,0.0176,0.5396,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651358,937,0.6221,0.0089,0.6131,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651359,938,0.6824,0.0141,0.6684,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651359,939,0.7294,0.0145,0.7149,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651360,940,0.6581,0.0253,0.6328,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651360,941,0.6458,0.0193,0.6265,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651360,942,0.6199,0.0148,0.605,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651361,943,0.6074,0.015,0.5923,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651361,944,0.6589,0.0138,0.6452,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651362,945,0.5106,0.0122,0.4985,0.83,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651362,946,0.7158,0.0147,0.7011,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651362,947,0.6262,0.0101,0.6161,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651363,948,0.5904,0.013,0.5774,0.83,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651363,949,0.6674,0.0175,0.6499,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651364,950,0.6369,0.0156,0.6213,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651364,951,0.6109,0.0161,0.5948,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651364,952,0.626,0.0191,0.6069,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651365,953,0.6334,0.0189,0.6145,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651365,954,0.6746,0.015,0.6596,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651365,955,0.735,0.0129,0.7221,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651366,956,0.641,0.0185,0.6225,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651366,957,0.7381,0.0168,0.7213,0.5,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651367,958,0.6983,0.0131,0.6852,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651367,959,0.6598,0.0217,0.6381,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651367,960,0.6388,0.012,0.6268,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651368,961,0.6631,0.011,0.6521,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651368,962,0.7531,0.0097,0.7434,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651369,963,0.67,0.0205,0.6495,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651369,964,0.5992,0.0184,0.5808,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651369,965,0.6189,0.015,0.6039,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651370,966,0.6978,0.015,0.6828,0.5,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651370,967,0.7035,0.0149,0.6886,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651370,968,0.6313,0.0137,0.6176,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651371,969,0.6853,0.0181,0.6672,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651371,970,0.608,0.0174,0.5907,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651372,971,0.5641,0.0126,0.5515,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651372,972,0.5936,0.0185,0.5751,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651373,973,0.5536,0.0214,0.5322,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651373,974,0.7006,0.0157,0.6849,0.6,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651373,975,0.6205,0.0159,0.6046,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651374,976,0.7077,0.0118,0.6959,0.57,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651374,977,0.5569,0.0116,0.5452,0.8,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651375,978,0.712,0.0143,0.6977,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651375,979,0.7134,0.0129,0.7005,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651376,980,0.592,0.0172,0.5748,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651376,981,0.5765,0.0127,0.5638,0.73,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651376,982,0.7127,0.0185,0.6942,0.47,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651377,983,0.6579,0.0158,0.642,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651377,984,0.6166,0.0159,0.6007,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651378,985,0.5435,0.0129,0.5306,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651378,986,0.6592,0.0136,0.6455,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651379,987,0.5037,0.0095,0.4941,0.83,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651379,988,0.6873,0.0105,0.6768,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651379,989,0.7281,0.0207,0.7074,0.53,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651380,990,0.6695,0.0123,0.6571,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651380,991,0.6762,0.0133,0.6629,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651380,992,0.6273,0.0129,0.6144,0.63,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651381,993,0.5998,0.0108,0.589,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651381,994,0.6423,0.0181,0.6242,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651382,995,0.6754,0.0124,0.663,0.67,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651382,996,0.6183,0.0153,0.603,0.7,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651383,997,0.7383,0.0108,0.7275,0.47,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651383,998,0.5035,0.0122,0.4913,0.77,0.0,1.0
compas-alpha_1-beta_1-gamma_1,1571651383,999,0.831,0.0149,0.8161,0.57,0.0,1.0
